delbydelid;Antall husholdninger;Barn i husholdningen;År;Bydel;Delbydel;Husholdningstype
0301010101;8.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;18.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;9.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;18.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;9.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.0;3 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.587800000000016;3 barn i HH;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;6.573200000000023;2 barn i HH;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;4.141100000000015;2 barn i HH;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;3.0;4 barn eller mer;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;5.012000000000017;1 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;7.0158000000000245;2 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;4.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;5.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;8.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;5.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;3.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;10.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;6.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;17.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;4.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;4.0;3 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010101;3.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med store barn
0301010102;2805.83720000001;Ingen barn i HH;2008;Gamle Oslo;Grønland;Aleneboende
0301010102;3134.829800000011;Ingen barn i HH;2009;Gamle Oslo;Grønland;Aleneboende
0301010102;3360.9287000000118;Ingen barn i HH;2010;Gamle Oslo;Grønland;Aleneboende
0301010102;3392.3568000000123;Ingen barn i HH;2011;Gamle Oslo;Grønland;Aleneboende
0301010102;3491.0;Ingen barn i HH;2012;Gamle Oslo;Grønland;Aleneboende
0301010102;3514.0;Ingen barn i HH;2013;Gamle Oslo;Grønland;Aleneboende
0301010102;2839.0;Ingen barn i HH;2014;Gamle Oslo;Grønland;Aleneboende
0301010102;2895.0;Ingen barn i HH;2015;Gamle Oslo;Grønland;Aleneboende
0301010102;3029.0;Ingen barn i HH;2016;Gamle Oslo;Grønland;Aleneboende
0301010102;2955.0;Ingen barn i HH;2017;Gamle Oslo;Grønland;Aleneboende
0301010102;3015.0;Ingen barn i HH;2018;Gamle Oslo;Grønland;Aleneboende
0301010102;558.8433000000019;Ingen barn i HH;2008;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;596.4254000000021;Ingen barn i HH;2009;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;666.6433000000023;Ingen barn i HH;2010;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;735.0;Ingen barn i HH;2011;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;772.0;Ingen barn i HH;2012;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;756.0;Ingen barn i HH;2013;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;889.0;Ingen barn i HH;2014;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;909.0;Ingen barn i HH;2015;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;928.0;Ingen barn i HH;2016;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;982.0;Ingen barn i HH;2017;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;1008.0;Ingen barn i HH;2018;Gamle Oslo;Grønland;Par uten hjemmeboende barn
0301010102;149.53960000000055;1 barn i HH;2008;Gamle Oslo;Grønland;Par med små barn
0301010102;82.3865000000003;2 barn i HH;2008;Gamle Oslo;Grønland;Par med små barn
0301010102;52.47980000000018;3 barn i HH;2008;Gamle Oslo;Grønland;Par med små barn
0301010102;34.0;4 barn eller mer;2008;Gamle Oslo;Grønland;Par med små barn
0301010102;165.0;1 barn i HH;2009;Gamle Oslo;Grønland;Par med små barn
0301010102;79.45870000000028;2 barn i HH;2009;Gamle Oslo;Grønland;Par med små barn
0301010102;51.155000000000186;3 barn i HH;2009;Gamle Oslo;Grønland;Par med små barn
0301010102;46.44620000000016;4 barn eller mer;2009;Gamle Oslo;Grønland;Par med små barn
0301010102;185.11620000000065;1 barn i HH;2010;Gamle Oslo;Grønland;Par med små barn
0301010102;82.1087000000003;2 barn i HH;2010;Gamle Oslo;Grønland;Par med små barn
0301010102;50.05200000000018;3 barn i HH;2010;Gamle Oslo;Grønland;Par med små barn
0301010102;42.04360000000015;4 barn eller mer;2010;Gamle Oslo;Grønland;Par med små barn
0301010102;186.0;1 barn i HH;2011;Gamle Oslo;Grønland;Par med små barn
0301010102;95.0;2 barn i HH;2011;Gamle Oslo;Grønland;Par med små barn
0301010102;45.0;3 barn i HH;2011;Gamle Oslo;Grønland;Par med små barn
0301010102;43.0;4 barn eller mer;2011;Gamle Oslo;Grønland;Par med små barn
0301010102;180.0;1 barn i HH;2012;Gamle Oslo;Grønland;Par med små barn
0301010102;103.0;2 barn i HH;2012;Gamle Oslo;Grønland;Par med små barn
