aar;bydel_id;bydel_navn;delbydel_id;delbydel_navn;selveier_alle;borettslag_andel_alle;leier_alle;selveier_uten_studenter;borettslag_andel_uten_studenter;leier_uten_studenter
2016;07;Bydel Vestre Aker;0705;Slemdal;77.05;1.25;21.7;78.14;1.27;20.58
2016;07;Bydel Vestre Aker;0706;Grimelund;77.85;1.2;20.95;79.44;0.0;19.57
2016;07;Bydel Vestre Aker;0707;Vinderen;64.37;8.54;27.09;66.4;8.61;24.99
2016;08;Bydel Nordre Aker;0801;Disen;44.67;42.67;12.67;45.05;43.07;11.89
2016;08;Bydel Nordre Aker;0802;Myrer;64.73;18.59;16.68;65.27;18.53;16.2
2016;08;Bydel Nordre Aker;0803;Grefsen;60.18;14.47;25.35;61.73;14.53;23.74
2016;08;Bydel Nordre Aker;0804;Kjelsås;66.48;15.45;18.07;67.74;15.26;17.0
2016;08;Bydel Nordre Aker;0805;Korsvoll;61.94;14.09;23.97;63.31;13.83;22.86
2016;08;Bydel Nordre Aker;0806;Tåsen;55.73;10.13;34.14;60.08;10.86;29.06
2016;08;Bydel Nordre Aker;0807;Nordberg;30.37;14.28;55.36;38.13;17.9;43.97
2016;08;Bydel Nordre Aker;0808;Ullevål hageby;38.02;33.54;28.43;40.95;36.13;22.92
2016;09;Bydel Bjerke;0901;Veitvet;18.42;59.79;21.79;18.67;60.48;20.84
2016;09;Bydel Bjerke;0902;Linderud;33.37;41.87;24.76;33.74;42.39;23.88
2016;09;Bydel Bjerke;0903;Økern;41.48;19.44;39.07;42.87;19.86;37.27
2016;09;Bydel Bjerke;0904;Årvoll;47.76;36.18;16.07;48.11;36.42;15.47
2016;10;Bydel Grorud;1001;Ammerud;22.04;60.6;17.36;22.23;60.87;16.9
2016;10;Bydel Grorud;1002;Rødtvet;27.87;59.44;12.69;28.28;59.82;11.9
2016;10;Bydel Grorud;1003;Nordtvet;4.46;84.43;11.11;4.41;84.82;10.77
2016;10;Bydel Grorud;1004;Grorud;55.3;14.01;30.69;55.67;14.15;30.18
2016;10;Bydel Grorud;1005;Romsås;2.39;85.31;12.3;2.38;85.52;12.1
